	DRUG	CTRL	EC50	PARENT_ID	DATE
190	CDV	14.23	29.57	470	2019-05-03 00:00:00
191	FOS	133.6	97.92	470	2019-05-03 00:00:00
192	ACV	1.300	>40.0	612	2022-05-20 00:00:00
193	FOS	91.04	85.86	612	2022-05-20 00:00:00
194	ACV	2.730	0.408	275	2025-07-30 16:15:48
195	PCV	9.852	1.682	275	2025-07-30 16:15:48
196	CDV	19.23	3.750	275	2025-07-30 16:15:48
197	FOS	214.9	<50.0	275	2025-07-30 16:15:48
198	ACV	2.471	>40.0	144	2013-06-24 00:00:00
199	PCV	16.75	>160.0	144	2013-06-24 00:00:00
200	CDV	29.56	28.58	144	2013-06-24 00:00:00
201	FOS	206.8	69.51	144	2013-06-24 00:00:00
202	ACV	0.3447	16.59	381	2017-10-06 00:00:00
203	PCV	3.394	42.95	381	2017-10-06 00:00:00
204	CDV	8.976	2.753	381	2017-10-06 00:00:00
205	FOS	63.43	58.61	381	2017-10-06 00:00:00
206	ACV	1.074	>40.0	392	2017-11-24 00:00:00
207	PCV	3.308	70.71	392	2017-11-24 00:00:00
208	CDV	13.44	5.690	392	2017-11-24 00:00:00
209	FOS	109.9	101.4	392	2017-11-24 00:00:00
210	ACV	2.635	2.542	81	2025-07-30 16:15:44
211	PCV	12.42	8.441	81	2025-07-30 16:15:44
212	CDV	24.64	65.34	81	2025-07-30 16:15:44
213	FOS	287.7	85.53	81	2025-07-30 16:15:44
214	ACV	0.9751	2.806	637	2022-09-26 00:00:00
215	ACV	4.321	2.806	551	2021-02-05 00:00:00
216	CDV	42.04	48.15	551	2021-02-05 00:00:00
217	FOS	224.5	252.	551	2021-02-05 00:00:00
218	ACV	1.157	>40.0	252	2015-09-07 00:00:00
219	PCV	4.529	>160.0	252	2015-09-07 00:00:00
220	CDV	8.839	9.341	252	2015-09-07 00:00:00
221	FOS	133.5	740.7	252	2015-09-07 00:00:00
222	ACV	2.097	1.614	621	2022-07-15 00:00:00
223	CDV	46.97	11.59	621	2022-07-15 00:00:00
224	FOS	172.3	116.4	621	2022-07-15 00:00:00
225	ACV	0.7189	3.435	426	2018-05-14 00:00:00
226	PCV	2.659	4.168	426	2018-05-14 00:00:00
227	CDV	10.95	9.431	426	2018-05-14 00:00:00
228	FOS	139.1	401.7	426	2018-05-14 00:00:00
229	ACV	3.873	3.183	290	2025-07-30 16:15:48
230	PCV	19.49	18.7	290	2025-07-30 16:15:48
231	CDV	37.59	84.63	290	2025-07-30 16:15:48
232	FOS	289.5	76.91	290	2025-07-30 16:15:48
233	ACV	1.471	17.98	785	2019-06-07 00:00:00
234	PCV	3.683	17.03	785	2019-06-07 00:00:00
235	CDV	13.21	18.69	785	2019-06-07 00:00:00
236	FOS	123.9	705.7	785	2019-06-07 00:00:00
237	ACV	1.695	0.2909	195	2014-09-01 00:00:00
238	PCV	4.359	1.108	195	2014-09-01 00:00:00
239	CDV	11.22	3.195	195	2014-09-01 00:00:00
240	FOS	148.2	<50.0	195	2014-09-01 00:00:00
241	ACV	1.311	0.8280	494	2019-12-09 00:00:00
242	PCV	3.092	2.969	494	2019-12-09 00:00:00
243	CDV	3.877	5.606	494	2019-12-09 00:00:00
244	FOS	87.58	75.09	494	2019-12-09 00:00:00
245	CDV	9.921	37.67	627	2022-09-05 00:00:00
246	ACV	1.693	3.038	56	2011-10-03 00:00:00
247	PCV	7.236	5.946	56	2011-10-03 00:00:00
248	CDV	17.01	13.35	56	2011-10-03 00:00:00
249	FOS	247.4	145.9	56	2011-10-03 00:00:00
250	CDV	10.20	21.24	378	2017-10-02 00:00:00
251	ACV	3.765	0.9921	321	2016-11-04 00:00:00
252	PCV	17.64	9.548	321	2016-11-04 00:00:00
253	CDV	37.	28.06	321	2016-11-04 00:00:00
254	FOS	276.1	89.78	321	2016-11-04 00:00:00
255	CDV	31.71	27.97	586	2022-12-09 00:00:00
256	ACV	1.63	5.743	536	2021-01-18 00:00:00
257	CDV	27.06	28.47	536	2021-01-18 00:00:00
258	FOS	268.7	190.	536	2021-01-18 00:00:00
259	ACV	0.7334	28.09	423	2018-04-30 00:00:00
260	PCV	2.456	>160.0	423	2018-04-30 00:00:00
261	CDV	6.441	<1.5625	423	2018-04-30 00:00:00
262	FOS	86.55	<50.0	423	2018-04-30 00:00:00
263	ACV	2.429	1.359	750	2025-05-02 00:00:00
264	CDV	13.78	9.506	750	2025-05-02 00:00:00
265	FOS	110.7	72.57	750	2025-05-02 00:00:00
266	ACV	<0.15625	1.466	550	2021-02-26 00:00:00
267	CDV	2.619	36.66	550	2021-02-26 00:00:00
268	FOS	50.35	137.8	550	2021-02-26 00:00:00
269	ACV	2.293	>40.0	302	2025-07-30 16:15:48
270	PCV	7.711	>160.0	302	2025-07-30 16:15:48
271	CDV	24.00	5.068	302	2025-07-30 16:15:48
272	FOS	194.3	138.3	302	2025-07-30 16:15:48
273	ACV	1.067	>40.0	762	2025-08-01 00:00:00
274	FOS	62.27	53.65	762	2025-08-01 00:00:00
275	ACV	1.876	1.805	127	2013-04-12 00:00:00
276	PCV	9.439	20.84	127	2013-04-12 00:00:00
277	CDV	19.74	106.6	127	2013-04-12 00:00:00
278	FOS	259.3	212.5	127	2013-04-12 00:00:00
279	ACV	0.6732	0.3937	182	2014-05-12 00:00:00
280	PCV	2.379	2.659	182	2014-05-12 00:00:00
281	CDV	6.407	16.69	182	2014-05-12 00:00:00
282	FOS	121.4	58.97	182	2014-05-12 00:00:00
283	ACV	1.413	3.292	19	2010-08-09 00:00:00
284	PCV	4.297	3.362	19	2010-08-09 00:00:00
285	CDV	9.253	9.007	19	2010-08-09 00:00:00
286	FOS	210.7	95.65	19	2010-08-09 00:00:00
287	ACV	1.282	0.2917	181	2014-04-11 00:00:00
288	PCV	6.828	1.441	181	2014-04-11 00:00:00
289	CDV	10.77	3.846	181	2014-04-11 00:00:00
290	FOS	129.3	52.97	181	2014-04-11 00:00:00
291	ACV	0.3457	30.21	585	2021-07-23 00:00:00
292	CDV	2.698	5.504	585	2021-07-23 00:00:00
293	FOS	59.15	326.8	585	2021-07-23 00:00:00
294	ACV	1.345	1.591	504	2020-03-09 00:00:00
295	PCV	3.374	5.263	504	2020-03-09 00:00:00
296	CDV	15.47	36.56	504	2020-03-09 00:00:00
297	FOS	130.	203.0	504	2020-03-09 00:00:00
298	ACV	0.4672	>40.0	375	2017-09-22 00:00:00
299	PCV	1.745	>160.0	375	2017-09-22 00:00:00
300	CDV	3.096	76.96	375	2017-09-22 00:00:00
301	FOS	73.33	117.4	375	2017-09-22 00:00:00
302	ACV	1.564	1.019	686	2023-04-21 00:00:00
303	CDV	22.83	11.65	686	2023-04-21 00:00:00
304	FOS	121.2	74.3	686	2023-04-21 00:00:00
305	ACV	2.004	31.75	102	2012-09-04 00:00:00
306	PCV	5.783	>160.0	102	2012-09-04 00:00:00
307	CDV	12.84	2.515	102	2012-09-04 00:00:00
308	FOS	191.	78.20	102	2012-09-04 00:00:00
309	ACV	1.62	>40.0	266	2015-12-11 00:00:00
310	PCV	5.034	>160.0	266	2015-12-11 00:00:00
311	CDV	11.96	57.77	266	2015-12-11 00:00:00
312	FOS	151.4	74.16	266	2015-12-11 00:00:00
313	ACV	0.7232	1.343	377	2017-09-29 00:00:00
314	PCV	3.078	4.894	377	2017-09-29 00:00:00
315	CDV	9.364	37.11	377	2017-09-29 00:00:00
316	FOS	50.	107.0	377	2017-09-29 00:00:00
317	ACV	0.4628	4.286	766	2025-08-15 00:00:00
318	FOS	55.35	59.80	766	2025-08-15 00:00:00
319	ACV	1.393	20.65	22	2010-11-12 00:00:00
320	PCV	5.176	>160.0	22	2010-11-12 00:00:00
321	CDV	14.94	1.692	22	2010-11-12 00:00:00
322	FOS	275.8	93.68	22	2010-11-12 00:00:00
323	ACV	2.977	2.315	259	2015-11-27 00:00:00
324	PCV	7.274	1.984	259	2015-11-27 00:00:00
325	CDV	31.83	51.38	259	2015-11-27 00:00:00
326	FOS	180.9	<50.0	259	2015-11-27 00:00:00
327	ACV	0.5374	4.529	492	2019-11-18 00:00:00
328	PCV	7.696	7.579	492	2019-11-18 00:00:00
329	CDV	7.784	165.6	492	2019-11-18 00:00:00
330	FOS	93.84	87.06	492	2019-11-18 00:00:00
331	ACV	0.6422	12.74	8	2010-03-15 00:00:00
332	PCV	5.130	24.25	8	2010-03-15 00:00:00
333	CDV	13.50	<1.5625	8	2010-03-15 00:00:00
334	FOS	252.	119.7	8	2010-03-15 00:00:00
335	ACV	1.094	18.11	79	2012-04-20 00:00:00
336	PCV	5.053	86.40	79	2012-04-20 00:00:00
337	CDV	10.19	<1.5625	79	2012-04-20 00:00:00
338	FOS	144.1	<50.0	79	2012-04-20 00:00:00
339	ACV	1.017	28.28	192	2014-08-18 00:00:00
340	PCV	3.712	115.4	192	2014-08-18 00:00:00
341	CDV	6.750	1.757	192	2014-08-18 00:00:00
342	FOS	116.8	66.26	192	2014-08-18 00:00:00
343	ACV	1.017	>40.0	191	2014-08-18 00:00:00
344	PCV	3.712	>160.0	191	2014-08-18 00:00:00
345	CDV	6.750	40.35	191	2014-08-18 00:00:00
346	FOS	116.8	77.24	191	2014-08-18 00:00:00
347	ACV	2.059	>40.0	313	2016-09-16 00:00:00
348	PCV	7.262	>160.0	313	2016-09-16 00:00:00
349	CDV	16.99	2.869	313	2016-09-16 00:00:00
350	FOS	176.3	80.18	313	2016-09-16 00:00:00
351	ACV	3.873	>40.0	282	2025-07-30 16:15:48
352	PCV	19.49	>160.0	282	2025-07-30 16:15:48
353	CDV	37.59	91.17	282	2025-07-30 16:15:48
354	FOS	289.5	61.4	282	2025-07-30 16:15:48
355	ACV	1.975	0.4303	12	2010-05-17 00:00:00
356	PCV	4.518	3.175	12	2010-05-17 00:00:00
357	CDV	11.57	11.20	12	2010-05-17 00:00:00
358	FOS	232.9	102.9	12	2010-05-17 00:00:00
359	ACV	1.403	>40.0	123	2013-03-04 00:00:00
360	PCV	4.621	25.08	123	2013-03-04 00:00:00
361	CDV	11.78	5.856	123	2013-03-04 00:00:00
362	FOS	167.2	151.5	123	2013-03-04 00:00:00
363	ACV	0.4781	13.99	363	2017-08-11 00:00:00
364	PCV	3.106	86.94	363	2017-08-11 00:00:00
365	CDV	8.896	<1.5625	363	2017-08-11 00:00:00
366	FOS	88.07	<50.0	363	2017-08-11 00:00:00
367	ACV	0.4843	0.8602	361	2017-07-07 00:00:00
368	PCV	2.581	9.458	361	2017-07-07 00:00:00
369	CDV	10.41	75.9	361	2017-07-07 00:00:00
370	FOS	101.6	69.30	361	2017-07-07 00:00:00
371	ACV	1.121	>40.0	407	2018-02-16 00:00:00
372	PCV	3.663	>160.0	407	2018-02-16 00:00:00
373	CDV	23.78	17.55	407	2018-02-16 00:00:00
374	FOS	125.5	69.30	407	2018-02-16 00:00:00
375	ACV	1.155	21.06	524	2020-10-19 00:00:00
376	CDV	5.106	3.267	524	2020-10-19 00:00:00
377	FOS	101.2	275.2	524	2020-10-19 00:00:00
378	ACV	1.468	3.726	689	2023-05-19 00:00:00
