	LOCATION	FILENAME	DATE	RUNID
40	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	171110_161001_TK2.fas	2017-11-10 00:00:00	161001
41	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	171124_161290_TK2.fas	2017-11-24 00:00:00	161290
42	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	171124_161290_pol2.fas	2017-11-24 00:00:00	161290
43	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	171205_161561_TK2.fas	2017-12-05 00:00:00	161561
44	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	171208_161612_pol2.fas	2017-12-08 00:00:00	161612
45	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	171213_161687_TK1.fas	2017-12-13 00:00:00	161687
46	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	171213_161687_pol1.fas	2017-12-13 00:00:00	161687
47	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	171220_161862_TK1.fas	2017-12-20 00:00:00	161862
48	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	171220_161862_pol1.fas	2017-12-20 00:00:00	161862
49	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	171221_161916_TK1.fas	2017-12-21 00:00:00	161916
50	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/17	171221_161916_pol1.fas	2017-12-21 00:00:00	161916
51	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180104_162003_TK1.fas	2018-01-04 00:00:00	162003
52	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180104_162003_pol1.fas	2018-01-04 00:00:00	162003
53	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180104_162017_TK1.fas	2018-01-04 00:00:00	162017
54	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180104_162017_pol1.fas	2018-01-04 00:00:00	162017
